Part,Value,Device,Package,Description
C1.1,100nF,C-EUC0603,C0603,"CAPACITOR, European symbol"
C2.1,100nF,C-EUC0603,C0603,"CAPACITOR, European symbol"
C3.1,100nF,C-EUC0603,C0603,"CAPACITOR, European symbol"
C4.1,10nF,C-EUC0603,C0603,"CAPACITOR, European symbol"
IC1,ULN2803,"ULN2803A"";""DIL18",DRIVER ARRAY,
JP2,,JP2E,PinHead 1X03,PinHead 1X03
LED1,,LED_ESML0603,LED_SML0603,LED
LED2,,LED_ESML0603,LED_SML0603,LED
LED3,,LED_ESML0603,LED_SML0603,LED
LED4,,LED_ESML0603,LED_SML0603,LED
PH1,,FE15-1,Female Header 1x15,FEMALE HEADER
PH2,,FE15-1,Female Header 1x15,FEMALE HEADER
PH3,,FE15-1,Female Header 1x15,FEMALE HEADER
PH4,,FE15-1,Female Header 1x15,FEMALE HEADER
R1.1,10K,R-EU_R0603,R0603,"RESISTOR, European symbol"
R2.1,10K,R-EU_R0603,R0603,"RESISTOR, European symbol"
R3.1,10K,R-EU_R0603,R0603,"RESISTOR, European symbol"
R4.1,10K,R-EU_R0603,R0603,"RESISTOR, European symbol"
R5.1,10K,R-EU_R0603,R0603,"RESISTOR, European symbol"
RN4,1K,4R-NCAY16,CAY16,Array Chip Resistor
S1,,10-XX,B3F-10XX,OMRON SWITCH
S2,,10-XX,B3F-10XX,OMRON SWITCH
S3,,10-XX,B3F-10XX,OMRON SWITCH
S4,,10-XX,B3F-10XX,OMRON SWITCH
S5,,10-XX,B3F-10XX,OMRON SWITCH
S6,,SK12F14F,SK-12F14-G,Slide SWITCH PIC
U2,ESP01,ESP01,FemaleHeader 2x04,Conector for ESP8266 Wifi module 
U3,,MA04-1,FemaleHeader 1x04,PIN HEADER 4 pines Female
X1,AK550/2,AK550/2,AK550/2,CONNECTOR
XH1,,B5B-XH-A,B5B-XH-A,CONNECTOR
XH2,,B5B-XH-A,B5B-XH-A,CONNECTOR
Z1,CFG12,CFG12,CFG12,Buzer 12mm
