"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";
"5";"";"10-XX";"B3F-10XX";"S1, S2, S3, S4, S5";"OMRON SWITCH";"";"B3F-1000";"176432";"36M3542";
"5";"";"40-XX";"B3F-40XX";"S1.1, S2.1, S3.1, S4.1, S5.1";"OMRON SWITCH";"OMRON COMPONENTS USA";"B3F-4000";"176434";"36K3105";
"4";"";"B5B-XH-A";"B5B-XH-A";"XH1, XH2, XH3, XH4";"";"";"";"";"";
"2";"";"CON-LSTA_FE15-1";"CON-LSTA_FE15";"SV2, SV3";"FEMALE HEADER";"";"";"unknown";"unknown";
"1";"";"JP1E";"JP1";"JP1";"JUMPER";"";"";"";"";
"4";"";"LED3MM";"LED3MM";"LED1, LED2, LED3, LED4";"LED";"";"";"";"";
"4";"";"LEDCHIPLED_0603";"CHIPLED_0603";"LED1.1, LED2.1, LED3.1, LED4.1";"LED";"";"";"";"";
"2";"";"MA04-1";"MA04-1";"SV4, U3";"PIN HEADER";"";"";"unknown";"unknown";
"1";"";"MA08-2";"MA08-2";"SV1";"PIN HEADER";"";"";"unknown";"unknown";
"2";"";"SJ";"SJ";"SJ1, SJ2";"SMD solder JUMPER";"";"";"";"";
"2";"100nF";"C-EU025-025X050";"C025-025X050";"C1, C2";"CAPACITOR, European symbol";"";"";"";"";
"2";"100nF";"C-EUC1206";"C1206";"C1.1, C2.1";"CAPACITOR, European symbol";"";"";"";"";
"8";"10K";"R-EU_0204/7";"0204/7";"R1, R2, R3, R4, R7, R11, R12, R14";"RESISTOR, European symbol";"";"";"";"";
"8";"10K";"R-EU_R0603";"R0603";"R1.1, R2.1, R3.1, R4.1, R7.1, R11.1, R12.1, R14.1";"RESISTOR, European symbol";"";"";"";"";
"1";"1117-3.3";"ASM1117-3.3";"SOT223";"U6";"ICP006";"";"";"";"";
"1";"18K";"R-EU_0204/7";"0204/7";"R13";"RESISTOR, European symbol";"";"";"";"";
"1";"18K";"R-EU_R0603";"R0603";"R13.1";"RESISTOR, European symbol";"";"";"";"";
"4";"1K";"R-EU_0204/7";"0204/7";"R6, R8, R9, R10";"RESISTOR, European symbol";"";"";"";"";
"4";"1K";"R-EU_R0603";"R0603";"R6.1, R8.1, R9.1, R10.1";"RESISTOR, European symbol";"";"";"";"";
"1";"1N5817";"P4KEXX";"DO41-10";"D1";"DIODE";"";"";"";"";
"1";"1uF";"C-EUC1206";"C1206";"C1.2";"CAPACITOR, European symbol";"";"";"";"";
"1";"2.54";"22-27-2021-02";"6410-02";"J1";"CONNECTOR";"";"";"unknown";"unknown";
"1";"22K";"R-EU_0204/7";"0204/7";"R5";"RESISTOR, European symbol";"";"";"";"";
"1";"22K";"R-EU_R0603";"R0603";"R5.1";"RESISTOR, European symbol";"";"";"";"";
"2";"AK550/2";"AK550/2";"AK550/2";"X1, X1.1";"CONNECTOR";"";"";"unknown";"unknown";
"1";"ESCORNABOT";"ESCORNABOT";"ESCORNA_PEQUE";"ESC";"";"";"";"";"";
"1";"ESP01";"ESP01";"ESP01";"U2";"ESP8266 Wifi module 01";"";"";"";"";
"1";"F/CM12P";"F/CM12P";"F/CM12P";"SG1";"BUZZER Source: Buerklin";"";"";"unknown";"unknown";
"4";"FRECHA";"FRECHA";"FRECHA";"U$1, U$3, U$6, U$11";"";"";"";"";"";
"1";"GO";"GO";"VALE";"U$2";"";"";"";"";"";
"1";"K7";"DIODESMA";"SMADIODE";"D2";"Diode";"";"";"";"";
"4";"MOUNT-HOLE3.0";"MOUNT-HOLE3.0";"3,0";"H1, H2, H3, H4";"MOUNTING HOLE with drill center marker";"";"";"";"";
"1";"PFRA.050";"FUSETE5";"TE5";"F1";"Fuse";"";"";"unknown";"unknown";
"1";"PolySwitch ";"PTCFUSE-1206";"R1206";"F1.1";"PTC fuses, resettable thermistors";"";"";"";"";
"1";"SK12D07";"ESCORNA_SK12F14D";"ESCORNA_SK-12D07";"S7.1";"";"";"";"";"";
"1";"SK12F14";"ESCORNA_SK12F14F";"ESCORNA_SK-12F14-G";"S7";"";"";"";"";"";
"1";"ULN2803";"ULN2803A";"DIL18";"IC1";"DRIVER ARRAY";"";"";"";"";
"1";"XDESIG";"XDESIG";"XDESIG_CU_2";"XDS1";"";"";"";"";"";
"1";"XDESIG_XDESIG21";"XDESIG_XDESIG21";"XDESIG_XDESIG";"U$13";"";"";"";"";"";
